C4c3D3c5B3f4B5b4C6d6F5                   Pyramid / Checkerboarding Peasant
C4c3D3c5B4d2C2f4D6c6F5e6F7               Mimura variation II
C4c3D3c5B6c6B5                           Hamilton
C4c3D3c5D6f4B4b6B5c6B3                   Bat (Piau Continuation 2)
C4c3D3c5D6f4B4b6B5c6F5                   Melnikov / Bat (Piau Continuation 1)
C4c3D3c5D6f4B4c6B5b3B6e3C2a4A5a6D2       Bat (Kling Continuation)
C4c3D3c5D6f4B4e3B3                       Bat (Kling Alternative)
C4c3D3c5D6f4F5                           Rose-v-Toth
C4c3D3c5D6f4F5d2                         Tanida
C4c3D3c5D6f4F5d2B5                       Aircraft / Feldborg
C4c3D3c5D6f4F5d2G4d7                     Sailboat
C4c3D3c5D6f4F5e6C6d7                     Maruoka
C4c3D3c5D6f4F5e6F6                       Landau
C4c3D3c5F6                               Buffalo / Kenichi Variation
C4c3D3c5F6e2C6                           Maruoka Buffalo
C4c3D3c5F6e3C6f5F4g5                     Tanida Buffalo
C4c3D3c5F6f5                             Hokuriku Buffalo
C4c3D3e3C2c6                             Lysons

C4e3F4c5D6f3C6                           Shaman / Danish
C4e3F4c5D6f3D3                           Inoue
C4e3F4c5D6f3D3c3                         Iago
C4e3F4c5D6f3E2                           Bhagat
C4e3F4c5D6f3E6c3D3e2                     Rose
C4e3F4c5D6f3E6c3D3e2B5                   Flat
C4e3F4c5D6f3E6c3D3e2B5f5                 Rotating Flat
C4e3F4c5D6f3E6c3D3e2B5f5B3               Murakami Variation
C4e3F4c5D6f3E6c3D3e2B5f5B4f6C2e7D2c7     Rotating Flat (Kling Continuation)
C4e3F4c5D6f3E6c3D3e2B6f5                 Rose-Birth
C4e3F4c5D6f3E6c3D3e2B6f5B4f6G5d7         Brightstein
C4e3F4c5D6f3E6c3D3e2B6f5G5               Rose-birdie / Rose-Tamenori
C4e3F4c5D6f3E6c3D3e2B6f5G5f6             Rose-Tamenori-Kling
C4e3F4c5D6f3E6c3D3e2D2                   Greenberg / Dawg
C4e3F4c5D6f3E6c6                         Ralle
C4e3F4c5E6                               Horse
C4e3F5b4F3f4E2e6G5f6D6c6                 No-Cat (Continuation)
C4e3F5e6F4c5D6c6F7g5G6                   Berner
C4e3F6e6F5c5C3b4D6c6B5a6B6c7             No-Kung (Continuation)
C4e3F6e6F5c5C3c6D3d2E2b3C1c2B4a3A5b5A6a4A2   F.A.T. draw
C4e3F6e6F5c5F4g5G4f3C6d3D6b3C3b4E2b6     Mainline Tiger
C4e3F6e6F5c5F4g6F7g5                     Central Rose-Bill / Dead draw
C4e3F6e6F5g6E7c5                         Aubrey (Feldborg continuation)
